GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
llm-service,ar.edu.utn.frc.tup.piv.llm.shadow.api,ShadowRunController.Page,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.shadow.api,ShadowRunController.Request,0,18,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.shadow.api,ShadowRunController,0,76,0,0,0,16,0,5,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.persistence,ModerationResolutionRepository,0,65,0,0,0,22,0,6,0,6
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.persistence,ModerationIncidentRepository,5,110,2,2,0,35,2,7,0,7
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.persistence,ModerationAppealRepository,0,77,0,0,0,25,0,7,0,7
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.persistence,ModerationResolutionEntity,0,66,0,0,0,28,0,14,0,14
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.persistence,ModerationIncidentEntity,0,108,0,0,0,42,0,21,0,21
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.persistence,ModerationRetentionPolicyEntity,0,88,0,6,0,32,0,19,0,16
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.persistence,ModerationAppealEntity,0,76,0,0,0,32,0,16,0,16
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.persistence,ModerationDecisionJdbcRepository,0,211,0,8,0,44,0,10,0,6
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ProviderCredentialController.DeploymentPage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,GatewayProbeController,1,98,1,5,0,17,1,8,0,6
llm-service,ar.edu.utn.frc.tup.piv.llm.api,RubricTemplateCatalogController,0,30,0,0,0,2,0,3,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CourseEvaluationStatusController,3,62,0,0,0,15,1,5,1,5
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ModelAssignmentController.Assignment,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,RubricController,0,129,0,0,0,24,0,8,0,8
llm-service,ar.edu.utn.frc.tup.piv.llm.api,RubricTemplateController.TemplatePage,6,0,0,0,1,0,1,0,1,0
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CalibrationRunController,0,69,0,0,0,14,0,5,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ProviderCredentialController.CredentialPage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CalibrationActivationController.ActivationPreview,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ProviderCredentialController.ModelPage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ModelDeploymentController.ModelAdapterSummary,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,EvaluatorModelEvents,24,36,0,0,0,4,3,3,3,3
llm-service,ar.edu.utn.frc.tup.piv.llm.api,RubricTemplateController,12,77,0,0,1,8,1,6,1,6
llm-service,ar.edu.utn.frc.tup.piv.llm.api,RagController,0,246,0,0,0,47,0,14,0,14
llm-service,ar.edu.utn.frc.tup.piv.llm.api,TutorInteractionController.Request,2,55,1,1,0,5,1,3,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CourseGoldenSetController.GoldenSetPage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ConversationController.CreateRequest,0,15,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,EligibleInteractionsController.EligibleInteractionPage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ProviderCredentialController.CreateCredential,0,15,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,RubricController.CreateFromTemplateRequest,0,9,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CalibrationActivationController.ActivationInput,0,9,0,0,0,1,0,1,0,1
